Cause of death,Cause of death Code,Year,Deaths,Population,Crude Rate,Age Adjusted Rate
Mesothelioma of other sites - Malignant neoplasms,C45.7,2013,10,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Mesothelioma, unspecified - Malignant neoplasms",C45.9,2011,89,11545442,0.8,0.7
"Mesothelioma, unspecified - Malignant neoplasms",C45.9,2012,98,11551783,0.8,0.7
"Mesothelioma, unspecified - Malignant neoplasms",C45.9,2013,106,11572232,0.9,0.8
"Mesothelioma, unspecified - Malignant neoplasms",C45.9,2014,103,11596998,0.9,0.7
"Mesothelioma, unspecified - Malignant neoplasms",C45.9,2015,78,11613423,0.7,0.6
Retroperitoneum - Malignant neoplasms,C48.0,2011,11,11545442,0.1 (Unreliable),0.1 (Unreliable)
Retroperitoneum - Malignant neoplasms,C48.0,2014,11,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Peritoneum, unspecified - Malignant neoplasms",C48.2,2011,29,11545442,0.3,0.2
"Peritoneum, unspecified - Malignant neoplasms",C48.2,2012,29,11551783,0.3,0.2
"Peritoneum, unspecified - Malignant neoplasms",C48.2,2013,32,11572232,0.3,0.2
"Peritoneum, unspecified - Malignant neoplasms",C48.2,2014,27,11596998,0.2,0.2
"Peritoneum, unspecified - Malignant neoplasms",C48.2,2015,45,11613423,0.4,0.3
"Connective and soft tissue of lower limb, including hip - Malignant neoplasms",C49.2,2013,10,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Connective and soft tissue of lower limb, including hip - Malignant neoplasms",C49.2,2015,10,11613423,0.1 (Unreliable),0.1 (Unreliable)
Connective and soft tissue of thorax - Malignant neoplasms,C49.3,2011,10,11545442,0.1 (Unreliable),0.1 (Unreliable)
Connective and soft tissue of abdomen - Malignant neoplasms,C49.4,2011,16,11545442,0.1 (Unreliable),0.1 (Unreliable)
Connective and soft tissue of abdomen - Malignant neoplasms,C49.4,2012,19,11551783,0.2 (Unreliable),0.1 (Unreliable)
Connective and soft tissue of abdomen - Malignant neoplasms,C49.4,2013,14,11572232,0.1 (Unreliable),0.1 (Unreliable)
Connective and soft tissue of abdomen - Malignant neoplasms,C49.4,2014,10,11596998,0.1 (Unreliable),0.1 (Unreliable)
Connective and soft tissue of abdomen - Malignant neoplasms,C49.4,2015,16,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,2011,159,11545442,1.4,1.2
"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,2012,143,11551783,1.2,1.1
"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,2013,173,11572232,1.5,1.3
"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,2014,164,11596998,1.4,1.2
"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,2015,166,11613423,1.4,1.2
"Breast, unspecified - Malignant neoplasms",C50.9,2011,1826,11545442,15.8,13.4
"Breast, unspecified - Malignant neoplasms",C50.9,2012,1757,11551783,15.2,12.8
"Breast, unspecified - Malignant neoplasms",C50.9,2013,1796,11572232,15.5,12.8
"Breast, unspecified - Malignant neoplasms",C50.9,2014,1772,11596998,15.3,12.6
"Breast, unspecified - Malignant neoplasms",C50.9,2015,1817,11613423,15.6,12.7
"Vulva, unspecified - Malignant neoplasms",C51.9,2011,56,11545442,0.5,0.4
"Vulva, unspecified - Malignant neoplasms",C51.9,2012,56,11551783,0.5,0.4
"Vulva, unspecified - Malignant neoplasms",C51.9,2013,41,11572232,0.4,0.3
"Vulva, unspecified - Malignant neoplasms",C51.9,2014,47,11596998,0.4,0.3
"Vulva, unspecified - Malignant neoplasms",C51.9,2015,63,11613423,0.5,0.4
Malignant neoplasm of vagina,C52,2011,14,11545442,0.1 (Unreliable),0.1 (Unreliable)
Malignant neoplasm of vagina,C52,2012,16,11551783,0.1 (Unreliable),0.1 (Unreliable)
Malignant neoplasm of vagina,C52,2013,16,11572232,0.1 (Unreliable),0.1 (Unreliable)
Malignant neoplasm of vagina,C52,2014,16,11596998,0.1 (Unreliable),0.1 (Unreliable)
Malignant neoplasm of vagina,C52,2015,18,11613423,0.2 (Unreliable),0.1 (Unreliable)
"Cervix uteri, unspecified - Malignant neoplasms",C53.9,2011,163,11545442,1.4,1.3
"Cervix uteri, unspecified - Malignant neoplasms",C53.9,2012,161,11551783,1.4,1.3
"Cervix uteri, unspecified - Malignant neoplasms",C53.9,2013,171,11572232,1.5,1.3
"Cervix uteri, unspecified - Malignant neoplasms",C53.9,2014,168,11596998,1.4,1.3
"Cervix uteri, unspecified - Malignant neoplasms",C53.9,2015,145,11613423,1.2,1.1
Endometrium - Malignant neoplasms,C54.1,2011,164,11545442,1.4,1.2
Endometrium - Malignant neoplasms,C54.1,2012,161,11551783,1.4,1.1
Endometrium - Malignant neoplasms,C54.1,2013,163,11572232,1.4,1.1
Endometrium - Malignant neoplasms,C54.1,2014,184,11596998,1.6,1.3
Endometrium - Malignant neoplasms,C54.1,2015,188,11613423,1.6,1.3
"Malignant neoplasm of uterus, part unspecified",C55,2011,215,11545442,1.9,1.6
"Malignant neoplasm of uterus, part unspecified",C55,2012,222,11551783,1.9,1.6
"Malignant neoplasm of uterus, part unspecified",C55,2013,209,11572232,1.8,1.5
"Malignant neoplasm of uterus, part unspecified",C55,2014,225,11596998,1.9,1.6
"Malignant neoplasm of uterus, part unspecified",C55,2015,246,11613423,2.1,1.7
Malignant neoplasm of ovary,C56,2011,552,11545442,4.8,4
Malignant neoplasm of ovary,C56,2012,600,11551783,5.2,4.4
Malignant neoplasm of ovary,C56,2013,584,11572232,5,4.1
Malignant neoplasm of ovary,C56,2014,585,11596998,5,4.1
Malignant neoplasm of ovary,C56,2015,532,11613423,4.6,3.7
Fallopian tube - Malignant neoplasms,C57.0,2011,17,11545442,0.1 (Unreliable),0.1 (Unreliable)
Fallopian tube - Malignant neoplasms,C57.0,2012,11,11551783,0.1 (Unreliable),0.1 (Unreliable)
Fallopian tube - Malignant neoplasms,C57.0,2013,11,11572232,0.1 (Unreliable),0.1 (Unreliable)
Fallopian tube - Malignant neoplasms,C57.0,2014,11,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Female genital organ, unspecified - Malignant neoplasms",C57.9,2011,11,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Female genital organ, unspecified - Malignant neoplasms",C57.9,2013,12,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Penis, unspecified - Malignant neoplasms",C60.9,2012,13,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Penis, unspecified - Malignant neoplasms",C60.9,2013,13,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Penis, unspecified - Malignant neoplasms",C60.9,2014,17,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Penis, unspecified - Malignant neoplasms",C60.9,2015,13,11613423,0.1 (Unreliable),0.1 (Unreliable)
Malignant neoplasm of prostate,C61,2011,1177,11545442,10.2,8.7
Malignant neoplasm of prostate,C61,2012,1067,11551783,9.2,7.6
Malignant neoplasm of prostate,C61,2013,1045,11572232,9,7.4
Malignant neoplasm of prostate,C61,2014,1073,11596998,9.3,7.5
Malignant neoplasm of prostate,C61,2015,1109,11613423,9.5,7.6
"Testis, unspecified - Malignant neoplasms",C62.9,2011,12,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Testis, unspecified - Malignant neoplasms",C62.9,2012,16,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Testis, unspecified - Malignant neoplasms",C62.9,2013,16,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Testis, unspecified - Malignant neoplasms",C62.9,2014,18,11596998,0.2 (Unreliable),0.2 (Unreliable)
"Testis, unspecified - Malignant neoplasms",C62.9,2015,15,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Malignant neoplasm of kidney, except renal pelvis",C64,2011,586,11545442,5.1,4.3
"Malignant neoplasm of kidney, except renal pelvis",C64,2012,536,11551783,4.6,3.9
"Malignant neoplasm of kidney, except renal pelvis",C64,2013,603,11572232,5.2,4.3
"Malignant neoplasm of kidney, except renal pelvis",C64,2014,540,11596998,4.7,3.7
"Malignant neoplasm of kidney, except renal pelvis",C64,2015,560,11613423,4.8,3.9
Malignant neoplasm of ureter,C66,2011,18,11545442,0.2 (Unreliable),0.1 (Unreliable)
Malignant neoplasm of ureter,C66,2012,15,11551783,0.1 (Unreliable),0.1 (Unreliable)
Malignant neoplasm of ureter,C66,2013,16,11572232,0.1 (Unreliable),0.1 (Unreliable)
Malignant neoplasm of ureter,C66,2014,17,11596998,0.1 (Unreliable),0.1 (Unreliable)
Malignant neoplasm of ureter,C66,2015,15,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Bladder, unspecified - Malignant neoplasms",C67.9,2011,676,11545442,5.9,5
"Bladder, unspecified - Malignant neoplasms",C67.9,2012,677,11551783,5.9,4.9
"Bladder, unspecified - Malignant neoplasms",C67.9,2013,756,11572232,6.5,5.3
"Bladder, unspecified - Malignant neoplasms",C67.9,2014,724,11596998,6.2,5.1
"Bladder, unspecified - Malignant neoplasms",C67.9,2015,718,11613423,6.2,4.9
Urethra - Malignant neoplasms,C68.0,2011,11,11545442,0.1 (Unreliable),0.1 (Unreliable)
Urethra - Malignant neoplasms,C68.0,2013,12,11572232,0.1 (Unreliable),0.1 (Unreliable)
Urethra - Malignant neoplasms,C68.0,2014,14,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Urinary organ, unspecified - Malignant neoplasms",C68.9,2011,10,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Urinary organ, unspecified - Malignant neoplasms",C68.9,2014,10,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Cerebrum, except lobes and ventricles - Malignant neoplasms",C71.0,2013,12,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Cerebrum, except lobes and ventricles - Malignant neoplasms",C71.0,2014,12,11596998,0.1 (Unreliable),0.1 (Unreliable)
Brain stem - Malignant neoplasms,C71.7,2012,10,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Brain, unspecified - Malignant neoplasms",C71.9,2011,513,11545442,4.4,3.8
"Brain, unspecified - Malignant neoplasms",C71.9,2012,565,11551783,4.9,4.2
"Brain, unspecified - Malignant neoplasms",C71.9,2013,566,11572232,4.9,4.1
"Brain, unspecified - Malignant neoplasms",C71.9,2014,586,11596998,5.1,4.2
"Brain, unspecified - Malignant neoplasms",C71.9,2015,606,11613423,5.2,4.4
Malignant neoplasm of thyroid gland,C73,2011,74,11545442,0.6,0.5
Malignant neoplasm of thyroid gland,C73,2012,64,11551783,0.6,0.5
Malignant neoplasm of thyroid gland,C73,2013,73,11572232,0.6,0.5
Malignant neoplasm of thyroid gland,C73,2014,66,11596998,0.6,0.5
Malignant neoplasm of thyroid gland,C73,2015,68,11613423,0.6,0.5
"Adrenal gland, unspecified - Malignant neoplasms",C74.9,2011,16,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Adrenal gland, unspecified - Malignant neoplasms",C74.9,2012,14,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Adrenal gland, unspecified - Malignant neoplasms",C74.9,2013,23,11572232,0.2,0.2
"Adrenal gland, unspecified - Malignant neoplasms",C74.9,2014,10,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Adrenal gland, unspecified - Malignant neoplasms",C74.9,2015,20,11613423,0.2,0.2
"Head, face and neck - Malignant neoplasms",C76.0,2011,13,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Head, face and neck - Malignant neoplasms",C76.0,2012,13,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Head, face and neck - Malignant neoplasms",C76.0,2013,27,11572232,0.2,0.2
"Head, face and neck - Malignant neoplasms",C76.0,2014,20,11596998,0.2,0.1
"Head, face and neck - Malignant neoplasms",C76.0,2015,21,11613423,0.2,0.1
Abdomen - Malignant neoplasms,C76.2,2011,31,11545442,0.3,0.2
Abdomen - Malignant neoplasms,C76.2,2012,31,11551783,0.3,0.2
Abdomen - Malignant neoplasms,C76.2,2013,32,11572232,0.3,0.2
Abdomen - Malignant neoplasms,C76.2,2014,28,11596998,0.2,0.2
Abdomen - Malignant neoplasms,C76.2,2015,25,11613423,0.2,0.2
Pelvis - Malignant neoplasms,C76.3,2011,12,11545442,0.1 (Unreliable),0.1 (Unreliable)
Pelvis - Malignant neoplasms,C76.3,2012,11,11551783,0.1 (Unreliable),0.1 (Unreliable)
Pelvis - Malignant neoplasms,C76.3,2015,10,11613423,0.1 (Unreliable),0.1 (Unreliable)
Other ill-defined sites - Malignant neoplasms,C76.7,2014,11,11596998,0.1 (Unreliable),0.1 (Unreliable)
Other ill-defined sites - Malignant neoplasms,C76.7,2015,11,11613423,0.1 (Unreliable),0.1 (Unreliable)
Secondary malignant neoplasm of lung - Malignant neoplasms,C78.0,2013,10,11572232,0.1 (Unreliable),0.1 (Unreliable)
Secondary malignant neoplasm of lung - Malignant neoplasms,C78.0,2015,12,11613423,0.1 (Unreliable),0.1 (Unreliable)
Secondary malignant neoplasm of retroperitoneum and peritoneum - Malignant neoplasms,C78.6,2011,24,11545442,0.2,0.2
Secondary malignant neoplasm of retroperitoneum and peritoneum - Malignant neoplasms,C78.6,2012,21,11551783,0.2,0.1
Secondary malignant neoplasm of retroperitoneum and peritoneum - Malignant neoplasms,C78.6,2013,23,11572232,0.2,0.2
Secondary malignant neoplasm of retroperitoneum and peritoneum - Malignant neoplasms,C78.6,2014,39,11596998,0.3,0.3
Secondary malignant neoplasm of retroperitoneum and peritoneum - Malignant neoplasms,C78.6,2015,19,11613423,0.2 (Unreliable),0.1 (Unreliable)
Secondary malignant neoplasm of liver - Malignant neoplasms,C78.7,2011,79,11545442,0.7,0.6
Secondary malignant neoplasm of liver - Malignant neoplasms,C78.7,2012,68,11551783,0.6,0.5
Secondary malignant neoplasm of liver - Malignant neoplasms,C78.7,2013,86,11572232,0.7,0.6
Secondary malignant neoplasm of liver - Malignant neoplasms,C78.7,2014,86,11596998,0.7,0.6
Secondary malignant neoplasm of liver - Malignant neoplasms,C78.7,2015,74,11613423,0.6,0.5
Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms,C79.3,2011,29,11545442,0.3,0.2
Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms,C79.3,2012,25,11551783,0.2,0.2
Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms,C79.3,2013,27,11572232,0.2,0.2
Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms,C79.3,2014,25,11596998,0.2,0.2
Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms,C79.3,2015,32,11613423,0.3,0.2
Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms,C79.5,2011,17,11545442,0.1 (Unreliable),0.1 (Unreliable)
Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms,C79.5,2012,18,11551783,0.2 (Unreliable),0.1 (Unreliable)
Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms,C79.5,2013,21,11572232,0.2,0.1
Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms,C79.5,2014,16,11596998,0.1 (Unreliable),0.1 (Unreliable)
Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms,C79.5,2015,19,11613423,0.2 (Unreliable),0.1 (Unreliable)
Secondary malignant neoplasm of other specified sites - Malignant neoplasms,C79.8,2011,129,11545442,1.1,0.9
Secondary malignant neoplasm of other specified sites - Malignant neoplasms,C79.8,2012,150,11551783,1.3,1.1
Secondary malignant neoplasm of other specified sites - Malignant neoplasms,C79.8,2013,133,11572232,1.1,0.9
Secondary malignant neoplasm of other specified sites - Malignant neoplasms,C79.8,2014,133,11596998,1.1,0.9
Secondary malignant neoplasm of other specified sites - Malignant neoplasms,C79.8,2015,127,11613423,1.1,0.8
Malignant neoplasm without specification of site,C80,2011,1151,11545442,10,8.5
Malignant neoplasm without specification of site,C80,2012,1199,11551783,10.4,8.7
Malignant neoplasm without specification of site,C80,2013,1155,11572232,10,8.2
Malignant neoplasm without specification of site,C80,2014,1220,11596998,10.5,8.5
Malignant neoplasm without specification of site,C80,2015,1204,11613423,10.4,8.2
"Hodgkin's disease, unspecified - Malignant neoplasms",C81.9,2011,50,11545442,0.4,0.4
"Hodgkin's disease, unspecified - Malignant neoplasms",C81.9,2012,45,11551783,0.4,0.3
"Hodgkin's disease, unspecified - Malignant neoplasms",C81.9,2013,37,11572232,0.3,0.3
"Hodgkin's disease, unspecified - Malignant neoplasms",C81.9,2014,53,11596998,0.5,0.4
"Hodgkin's disease, unspecified - Malignant neoplasms",C81.9,2015,41,11613423,0.4,0.3
"Follicular non-Hodgkin's lymphoma, unspecified - Malignant neoplasms",C82.9,2011,17,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Follicular non-Hodgkin's lymphoma, unspecified - Malignant neoplasms",C82.9,2012,12,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Follicular non-Hodgkin's lymphoma, unspecified - Malignant neoplasms",C82.9,2013,21,11572232,0.2,0.1
"Follicular non-Hodgkin's lymphoma, unspecified - Malignant neoplasms",C82.9,2014,26,11596998,0.2,0.2
"Follicular non-Hodgkin's lymphoma, unspecified - Malignant neoplasms",C82.9,2015,30,11613423,0.3,0.2
Small cell (diffuse) - Malignant neoplasms,C83.0,2011,13,11545442,0.1 (Unreliable),0.1 (Unreliable)
Small cleaved cell (diffuse) - Malignant neoplasms,C83.1,2011,46,11545442,0.4,0.3
Small cleaved cell (diffuse) - Malignant neoplasms,C83.1,2012,35,11551783,0.3,0.3
Small cleaved cell (diffuse) - Malignant neoplasms,C83.1,2013,37,11572232,0.3,0.3
Small cleaved cell (diffuse) - Malignant neoplasms,C83.1,2014,46,11596998,0.4,0.3
Small cleaved cell (diffuse) - Malignant neoplasms,C83.1,2015,39,11613423,0.3,0.3
Large cell (diffuse) - Malignant neoplasms,C83.3,2011,76,11545442,0.7,0.6
Large cell (diffuse) - Malignant neoplasms,C83.3,2012,84,11551783,0.7,0.6
Large cell (diffuse) - Malignant neoplasms,C83.3,2013,98,11572232,0.8,0.7
Large cell (diffuse) - Malignant neoplasms,C83.3,2014,123,11596998,1.1,0.9
Large cell (diffuse) - Malignant neoplasms,C83.3,2015,105,11613423,0.9,0.7
Burkitt's tumour - Malignant neoplasms,C83.7,2011,10,11545442,0.1 (Unreliable),0.1 (Unreliable)
Burkitt's tumour - Malignant neoplasms,C83.7,2013,12,11572232,0.1 (Unreliable),0.1 (Unreliable)
Burkitt's tumour - Malignant neoplasms,C83.7,2014,12,11596998,0.1 (Unreliable),0.1 (Unreliable)
Burkitt's tumour - Malignant neoplasms,C83.7,2015,11,11613423,0.1 (Unreliable),0.1 (Unreliable)
Other and unspecified T-cell lymphomas - Malignant neoplasms,C84.5,2011,39,11545442,0.3,0.3
Other and unspecified T-cell lymphomas - Malignant neoplasms,C84.5,2012,32,11551783,0.3,0.2
Other and unspecified T-cell lymphomas - Malignant neoplasms,C84.5,2013,24,11572232,0.2,0.2
Other and unspecified T-cell lymphomas - Malignant neoplasms,C84.5,2014,33,11596998,0.3,0.2
Other and unspecified T-cell lymphomas - Malignant neoplasms,C84.5,2015,33,11613423,0.3,0.2
"B-cell lymphoma, unspecified - Malignant neoplasms",C85.1,2011,88,11545442,0.8,0.6
"B-cell lymphoma, unspecified - Malignant neoplasms",C85.1,2012,93,11551783,0.8,0.7
"B-cell lymphoma, unspecified - Malignant neoplasms",C85.1,2013,68,11572232,0.6,0.5
"B-cell lymphoma, unspecified - Malignant neoplasms",C85.1,2014,104,11596998,0.9,0.7
"B-cell lymphoma, unspecified - Malignant neoplasms",C85.1,2015,108,11613423,0.9,0.8
"Non-Hodgkin's lymphoma, unspecified type - Malignant neoplasms",C85.9,2011,652,11545442,5.6,4.8
"Non-Hodgkin's lymphoma, unspecified type - Malignant neoplasms",C85.9,2012,586,11551783,5.1,4.3
"Non-Hodgkin's lymphoma, unspecified type - Malignant neoplasms",C85.9,2013,507,11572232,4.4,3.7
"Non-Hodgkin's lymphoma, unspecified type - Malignant neoplasms",C85.9,2014,599,11596998,5.2,4.3
"Non-Hodgkin's lymphoma, unspecified type - Malignant neoplasms",C85.9,2015,522,11613423,4.5,3.6
Waldenstrom's macroglobulinaemia - Malignant neoplasms,C88.0,2011,15,11545442,0.1 (Unreliable),0.1 (Unreliable)
Waldenstrom's macroglobulinaemia - Malignant neoplasms,C88.0,2013,12,11572232,0.1 (Unreliable),0.1 (Unreliable)
Waldenstrom's macroglobulinaemia - Malignant neoplasms,C88.0,2014,12,11596998,0.1 (Unreliable),0.1 (Unreliable)
Multiple myeloma - Malignant neoplasms,C90.0,2011,486,11545442,4.2,3.6
Multiple myeloma - Malignant neoplasms,C90.0,2012,505,11551783,4.4,3.6
Multiple myeloma - Malignant neoplasms,C90.0,2013,511,11572232,4.4,3.7
Multiple myeloma - Malignant neoplasms,C90.0,2014,528,11596998,4.6,3.7
Multiple myeloma - Malignant neoplasms,C90.0,2015,509,11613423,4.4,3.5
Plasma cell leukaemia - Malignant neoplasms,C90.1,2011,10,11545442,0.1 (Unreliable),0.1 (Unreliable)
Plasma cell leukaemia - Malignant neoplasms,C90.1,2015,11,11613423,0.1 (Unreliable),0.1 (Unreliable)
Acute lymphoblastic leukaemia - Malignant neoplasms,C91.0,2011,46,11545442,0.4,0.4
Acute lymphoblastic leukaemia - Malignant neoplasms,C91.0,2012,46,11551783,0.4,0.4
Acute lymphoblastic leukaemia - Malignant neoplasms,C91.0,2013,46,11572232,0.4,0.4
